DATE,S&P500,JPX400,SSEC,KOSPI
2007-11-08,1474.77,13394,5330.02,1979.56
2007-11-09,1453.7,13194.76,5315.54,1990.47
2007-11-10,,,,1990.47
2007-11-11,,,,1990.47
2007-11-12,1439.18,12859.87,5187.73,1923.42
2007-11-13,1481.05,12836.23,5158.12,1932.89
2007-11-14,1470.58,13191.74,5412.69,1972.58
2007-11-15,1451.15,13199.42,5365.27,1947.74
2007-11-16,1458.74,12953.49,5316.27,1926.2
2007-11-17,,,,1926.2
2007-11-18,,,,1926.2
2007-11-19,1433.27,12813.93,5269.82,1893.47
2007-11-20,1439.7,12952.88,5293.7,1872.24
2007-11-21,1416.77,12666.18,5214.23,1806.99
2007-11-22,,12653.75,4984.16,1799.02
2007-11-23,1440.7,,5032.13,1772.88
2007-11-24,,,,1772.88
2007-11-25,,,,1772.88
2007-11-26,1407.22,12898.69,4958.85,1855.33
2007-11-27,1428.23,12972.06,4861.11,1859.79
2007-11-28,1469.02,12948.69,4803.39,1834.69
2007-11-29,1469.72,13287.51,5003.33,1877.56
2007-11-30,1481.14,13452.42,4871.78,1906
2007-12-01,,,,1906
2007-12-02,,,,1906
2007-12-03,1472.42,13437.92,4868.61,1902.43
2007-12-04,1462.79,13289.13,4915.89,1917.83
2007-12-05,1485.01,13379.84,5042.65,1938.2
2007-12-06,1507.34,13587.87,5035.07,1953.17
2007-12-07,1504.66,13690.14,5091.76,1934.32
2007-12-08,,,,1934.32
2007-12-09,,,,1934.32
2007-12-10,1515.96,13648.31,5161.92,1906.42
2007-12-11,1477.65,13732.91,5175.08,1925.07
2007-12-12,1486.59,13633.11,5095.54,1927.45
2007-12-13,1488.41,13290.59,4958.04,1915.9
2007-12-14,1467.95,13177.09,5007.91,1895.05
2007-12-15,,,,1895.05
2007-12-16,,,,1895.05
2007-12-17,1445.9,12939.89,4876.76,1839.82
2007-12-18,1454.98,12900.62,4836.17,1861.47
2007-12-19,1453,12790.49,4941.78,1861.47
2007-12-20,1460.12,12816.22,5043.53,1844.37
2007-12-21,1484.46,12934.72,5101.78,1878.32
2007-12-22,,,,1878.32
2007-12-23,,,,1878.32
2007-12-24,1496.45,,5234.26,1919.47
2007-12-25,,13188.99,5201.18,1919.47
2007-12-26,1497.66,13286.45,5233.35,1906.72
2007-12-27,1476.37,13207.14,5308.89,1908.62
2007-12-28,1478.49,13010.19,5261.56,1897.13
2007-12-29,,,,1897.13
2007-12-30,,,,1897.13
2007-12-31,1468.36,,,1897.13
2008-01-01,,,,1897.13
2008-01-02,1447.16,,5272.81,1853.45
2008-01-03,1447.16,,5319.86,1852.73
2008-01-04,1411.63,12450.7,5361.57,1863.9
2008-01-05,,,,1863.9
2008-01-06,,,,1863.9
2008-01-07,1416.18,12263.64,5393.34,1831.14
2008-01-08,1390.19,12354.98,5386.53,1826.23
2008-01-09,1409.13,12547.91,5435.81,1844.47
2008-01-10,1420.33,12338.78,5456.54,1824.78
2008-01-11,1401.02,12123.88,5484.68,1782.27
2008-01-12,,,,1782.27
2008-01-13,,,,1782.27
2008-01-14,1416.25,,5497.9,1765.88
2008-01-15,1380.95,11904.05,5443.79,1746.95
2008-01-16,1373.2,11493.83,5290.61,1704.97
2008-01-17,1333.25,11737.95,5151.63,1723.55
2008-01-18,1325.19,11833.09,5180.51,1734.72
2008-01-19,,,,1734.72
2008-01-20,,,,1734.72
2008-01-21,,11409.34,4914.44,1683.56
2008-01-22,1310.5,10759.15,4559.75,1609.02
2008-01-23,1338.6,11021.9,4703.05,1628.42
2008-01-24,1352.07,11300.11,4717.73,1663
2008-01-25,1330.61,11816.23,4761.69,1692.41
2008-01-26,,,,1692.41
2008-01-27,,,,1692.41
2008-01-28,1353.97,11340.36,4419.29,1627.19
2008-01-29,1362.3,11649.97,4457.94,1637.91
2008-01-30,1355.81,11568.4,4417.85,1589.06
